|Act_cost|ajuste_necessario|Amostra|Amostra_2|Amostra_inicial|Amostra_inicial_2|ano_fab|ano_modelo|batente_max_ti|batente_min_ti|batente_min_ti_original|canal|Carprice|chave|classe_bonus|classif_corr_comer|cod_corr|Cod_End|Commission|CONT|Core Otimization Increase|Core Premium Increase|desc_config|Empresa|FABRICA|Flag_Hilux|flag_idade_ult_rns|Flag_Otimizacao|flag_piores|flag_saneamento|flag_saneamento_Premio_IC|Flag_valida_elast|fx_ir_12m|fx_qtd_12m|Gastos Totais|GBM_mercado|Grupo_veiculo_new|idade|idade_ult_RNS|Incremento_Estratégia|Incremento_Estratégia_com_batente|is_casco|is_casco_ofer|is_dmoral|is_rcdc|is_rcdm|LB|Liberty|MD_capac|MD_capacidade|MD_categoria|MD_comb|MD_config|MD_est_civil|MD_fator_ajuste|MD_franquia|MD_idade|MD_idade_veic|MD_menor26|MD_modalidade|MD_peso_faixa|MD_peso_pot|MD_pot_faixa|MD_qtd_assis_cpf|MD_sexo|MD_sin_5a_cas|MD_sin_5a_rcdm|MD_Subzona|MD_tempo_casa_2|MD_tipo_pessoa|MD_tipo_renov|MD_uso_comer|MD_uso_veic|Mercado_Mediana|nend|per_com|premio_anterior|Pr_Garantida_TI|premio_creserva|premio_demais_cob|Premio_estrategia|Premio_IC_100|Premio_maximo_sistema|Premio_minimo_sistema|Premio_oferecido_com_batente|Premio_oferecido_com_batente_inicial|Premio_oferecido_com_batente_sistema|premio_vidros|produto|Profile ID|qtd_assis_cpf|Relative Core Optimization Increase|Relative Core Premium Increase|Renovacao_ant|Risco_AS_mod|RISCO_CASCO_MOD|Risco_creserva|Risco_DC_mod|Risco_demais_cob|Risco_DM_mod|Risco_DMO_mod|Risco_PP_mod|Risco_PT_mod|Risco_RF_mod|Risco_vidros|RNS_Casco_calc|RNS_idade_Colisao_Integral|RNS_idade_Ind_parcial|RNS_idade_RF|RNS_idade_total|RNS_Qtd_Colisao_Integral|RNS_Qtd_Ind_parcial|RNS_qtd_ind_parcial_v2|RNS_qtd_RNS_20anos|RNS_qtd_total|RNS_rcf_calc|RNS_TOTAL|TARIFA|Taxa Prêmio/IS|TIPO_RENOV|UB|UF|Uniforme|valid|valida_sistema_elast_max|valida_sistema_elast_min|vigencia|premio|classe_bonus_bin|MD_sexo_bin|MD_sexo_2bin|fx_ir_12m_bin|MD_comb_bin|canal_bin|per_com_bin|idade_ult_RNS_bin|UF_bin|md_tipo_renov_ant_bin|MD_tipo_renov_bin|Cod_End_bin|MD_capac_bin|fator_ajuste_bin|canal_bin_Corretor_Mais|canal_bin_Demais|Cod_End_bin_13509|Cod_End_bin_Demais|fator_ajuste_bin_f_101_120|fator_ajuste_bin_f_80_101|per_com_bin_p_10_35|per_com_bin_p_1_10|classe_bonus_bin_00|classe_bonus_bin_Demais|UF_bin_AL_CE_RS|UF_bin_AP_DF_ES_PA_PB_RN_SC|UF_bin_Demais|UF_bin_GO_MA_MG|UF_bin_MT_PR|UF_bin_RJ|MD_comb_bin_Demais|MD_comb_bin_Gasolina|md_tipo_renov_ant_bin_1_SeguroNovo|md_tipo_renov_ant_bin_2_RenovPropria|md_tipo_renov_ant_bin_3_RenovCongenere|fx_ir_12m_bin_01_00_20|fx_ir_12m_bin_02_20_40|fx_ir_12m_bin_03_40_60|fx_ir_12m_bin_04_60_80|fx_ir_12m_bin_05_80_100|MD_tipo_renov_bin_2_RenovPropria_sem_sin|MD_tipo_renov_bin_3_RenovPropria_com_sin|idade_ult_RNS_bin_01_05_anos|idade_ult_RNS_bin_06_inf|idade_ult_RNS_bin_Sem_Sinistro|per_com_pct|premio_prob|premio_anterior_prob|Act_cost_prob|comissao_valor|comissao_valor_prob|precos|margem_esperada_otimizada|precos_otimizados|retencao_otimizada|margem_esperada_base_case|elasticidade|elasticidade_2|elasticidade_bin|batente_otim|batente_otim_prem_ant
0|510.0288442|0.6705320921133214|Otimização Mkp|Segmentacao|Otimização Mkp|Segmentacao|2012|2013|2.3|0.5|0.5|Corretor|30419|001002549703100001|10|C+|82495|0|138.87404999999998|1.0|0.0|-396.783|03 - Hatchback|MAPFRE|VOLKSWAGEN|Demais|Sem Sinistro|Elegivel_MP|Manter|Abaixo x1.8|Abaixo x1.8|Elegivel|02 - 20-<=040|05 - <=18432|903.4127365|1936.8690333194477|VW Gol 1.0 Novo|30|Sem Sinistro|-0.3294679078866785|-0.3|30419.0|30419.0|10000.0|200000.0|200000.0|925.827|1468.2339519591796|005|5|10 - Passeio Nacional|Flex|03 - Hatchback|Casado|100|12 - Reduzida|030|0012|NAO|Valor de Mercado|Faixa 03 - 900-949|14- 13 a 13.99|Faixa 03 - 60-79|0|Feminino|0|0|10500-CENTRO ORIENTAL RIO-GRANDENSE-SANTA CRUZ DO SUL|2|PF|2 - Renov MAPFRE sem sinistro|ERRO|Particular|1936.869033319448|0|15.0|1322.61|1113.16|0.0|121.55|925.827|886.85245035|3042.003|661.305|925.827|925.827|925.827|98.88|231|1|0|0.0|-0.3|2 - Renov MAPFRE sem sinistro|38.243951844|241.3544422507|0.0|39.044372929|44.601557|120.34656696|12.353142662|108.29321476|123.9199655|9.1412619907|36.2830272|0|Sem Sinistro|Sem Sinistro|Sem Sinistro|Sem Sinistro|0|0|0|0|0|0|RNS=0|925.827|0.0304358131431013|2|1018.4097|RS|0.6029905692172453|1.1|972.11835|879.5356499999998|Anual|925.827|Demais|Feminino|0|02_20_40|Demais|Demais|p_10_35|Sem_Sinistro|AL_CE_RS|2_RenovPropria|2_RenovPropria_sem_sin|Demais|Demais|f_80_101|0|1|0|1|0|1|1|0|0|1|1|0|0|0|0|0|1|0|0|1|0|0|1|0|0|0|1|0|0|0|1|0.15|682.0147399711692|917.2887252917246|353.7276357794283|147.50636692057776|102.30221099567538|1252.643931|494.9129600721742|983.3757794705185|0.6935443746015263|306.52831998533617|-1.0123685146712644|-0.9527782095096726|(-1.5, -1.0]|1.06|0.74
1|723.94939713|0.8684416248137314|Otimização Mkp|Segmentacao|Otimização Mkp|Segmentacao|2018|2018|2.3|0.5|0.5|Corretor|40512|001002549713100001|4|B|69884|0|188.8235256|1.0|0.0|-190.696496|03 - Hatchback|MAPFRE|RENAULT|Demais|Sem Sinistro|Elegivel_MP|Manter|Abaixo x1.8|Abaixo x1.8|Elegivel|04 - 60-<=080|03 - <=00072|1258.8235039796|1977.668569779034|Renault Sandero|42|Sem Sinistro|-0.1315583751862685|-0.1315583751862685|40512.0|40512.0|5000.0|100000.0|100000.0|1132.9411536|1556.6214439006317|005|5|10 - Passeio Nacional|Flex|03 - Hatchback|Casado|100|12 - Reduzida|042|0006|NAO|Valor de Mercado|Faixa 05 - 1000-1049|14- 13 a 13.99|Faixa 03 - 60-79|0|Feminino|0|0|32400-NORTE PIONEIRO PARANAENSE-ASSAI|3|PF|2 - Renov MAPFRE sem sinistro|ERRO|Particular|1977.668569779034|0|15.0|1449.52|1446.97|0.0|124.7|1258.823504|1258.823504|3333.896|724.76|1258.823504|1258.823504|1258.823504|124.7|231|2|0|0.0|-0.1315583751862686|2 - Renov MAPFRE sem sinistro|39.466034151|390.558366218|0.0|33.196298608|45.757418|185.98911985|8.9897810012|170.00169172|179.42686809|41.129806408|45.757418|0|Sem Sinistro|Sem Sinistro|Sem Sinistro|Sem Sinistro|0|0|0|0|0|0|RNS=0|1258.823504|0.0310728550552922|2|1384.7058544|RS|0.621472868397119|1.2222222222222223|1321.7646792|1195.8823288|Anual|1258.823504|Demais|Feminino|0|04_60_80|Demais|Demais|p_10_35|Sem_Sinistro|AL_CE_RS|2_RenovPropria|2_RenovPropria_sem_sin|Demais|Demais|f_80_101|0|1|0|1|0|1|1|0|0|1|1|0|0|0|0|0|1|0|0|1|0|0|0|0|1|0|1|0|0|0|1|0.15|1018.1689607357029|1244.565757747315|621.5868908395954|177.8760498726408|152.72534411035542|1703.188200912|761.4535647426123|1185.840332484272|0.8586054402473337|444.3478379084157|-0.5522689578143614|-0.5782909951314511|(-1.0, 0.0]|0.94|0.82
2|1156.8111931|1.226215075503309|Otimização Mkp|Segmentacao|Otimização Mkp|Segmentacao|2021|2021|2.3|0.5|0.5|Corretor|68190|001002550103100001|8|C+|82570|0|440.60605336|1.0|0.0|406.4202668|03 - Hatchback|MAPFRE|FIAT|Demais|Sem Sinistro|Elegivel_MP|Manter|Abaixo x1.8|Abaixo x1.8|Elegivel|02 - 20-<=040|02 - <=00036|2203.03026680332|2508.4441472109283|Fiat Cronos|70|Sem Sinistro|0.226215075503309|0.226215075503309|68190.0|68190.0|10000.0|250000.0|150000.0|1982.72724012|1647.9844838710296|005|5|10 - Passeio Nacional|Flex|03 - Hatchback|Divorciado|100|12 - Reduzida|070|0003|NAO|Valor de Mercado|Faixa 11 - 1300-1349|13- 12 a 12.99|Faixa 05 - 100-119|0|Masculino|0|0|13701-PORTO ALEGRE - LESTE|1|PF|2 - Renov MAPFRE sem sinistro|ERRO|Particular|2508.4441472109283|0|20.0|1796.61|2721.75|32.65|393.34|2203.0302668|2203.0302668|4132.203|898.305|2203.0302668|2203.0302668|2203.0302668|204.55|231|3|0|0.0|0.226215075503309|4 - Renov Congenere sem sinistro|30.885249726|679.78942936|11.980591|41.697913881|144.3321796|215.80711113|12.353142662|295.62202641|161.69203553|222.47536742|75.057577|0|Sem Sinistro|Sem Sinistro|Sem Sinistro|Sem Sinistro|0|0|0|0|0|0|RNS=0|2203.0302668|0.0323072337116879|2|2423.33329348|RS|0.6479136023021335|1.2222222222222223|2313.18178014|2092.87875346|Anual|2203.0302668|Demais|Masculino|1|02_20_40|Demais|Demais|p_10_35|Sem_Sinistro|AL_CE_RS|3_RenovCongenere|2_RenovPropria_sem_sin|Demais|Demais|f_80_101|0|1|0|1|0|1|1|0|0|1|1|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|1|0|0|0|1|0.2|721.8433746616091|601.4156342064822|387.2428280792125|431.272800901462|144.36867493232182|2438.7545053476|518.2511516922976|2156.36400450731|0.3347502430724989|332.69169293953564|-2.3979989452176036|-2.4875236754140104|(-2.5, -2.0]|0.98|1.2
3|1118.2574427|0.6657260325694595|Otimização Mkp|Segmentacao|Otimização Mkp|Segmentacao|2010|2010|2.3|0.5|0.5|Corretor|29932|001002550133100001|1|C+|82495|0|178.89256802|1.0|0.0|-898.2543197999998|28 - Off Road|MAPFRE|FIAT|Demais|Sem Sinistro|Elegivel_MP|Manter|Abaixo x1.8|Abaixo x1.8|Elegivel|02 - 20-<=040|05 - <=18432|1788.92568020698|2232.8942954112977|Fiat Palio Weekend|43|Sem Sinistro|-0.3342739674305405|-0.3342739674305405|29932.0|29932.0|50000.0|300000.0|300000.0|1610.03311218|2132.583668991344|005|5|10 - Passeio Nacional|Flex|28 - Off Road|Casado|100|12 - Reduzida|043|0014|NAO|Valor de Mercado|Faixa 08 - 1150-1199|11- 10 a 10.99|Faixa 05 - 100-119|0|Feminino|0|0|10400-CENTRO ORIENTAL RIO-GRANDENSE-LAJEADO-ESTRELA|1|PF|2 - Renov MAPFRE sem sinistro|ERRO|Particular|2232.8942954112977|0|10.0|2687.18|2136.45|26.94|508.89|1788.9256802|1788.9256802|6180.513999999999|1343.59|1788.9256802|1788.9256802|1788.9256802|100.41|231|4|0|0.0|-0.3342739674305405|1 - Seguro Novo|88.180334579|466.118237031|9.8853636|44.182965266|186.7320966|275.5051917|26.657140083|123.44333345|292.4185857|50.256317881|36.8444454|0|Sem Sinistro|Sem Sinistro|Sem Sinistro|Sem Sinistro|0|0|0|0|0|0|RNS=0|1788.9256802|0.0597663263463851|2|1967.81824822|RS|0.6272652564138493|1.2222222222222223|1878.37196421|1699.47939619|Anual|1788.9256802|Demais|Feminino|0|02_20_40|Demais|Demais|p_10_35|Sem_Sinistro|AL_CE_RS|1_SeguroNovo|2_RenovPropria_sem_sin|Demais|Demais|f_80_101|0|1|0|1|0|1|1|0|0|1|1|0|0|0|0|0|1|0|1|0|0|0|1|0|0|0|1|0|0|0|1|0.1|915.38291109385|1424.9881085026798|593.0021651292868|172.6188896844781|91.538291109385|2323.3638384326864|543.7128962199236|1726.1888968447809|0.5302912750551433|334.5825656604271|-1.710108809581197|-1.7954296396567426|(-2.0, -1.5]|0.96|0.64
4|16229.769667|2.205226545723869|Otimização Mkp|Segmentacao|Otimização Mkp|Segmentacao|2021|2022|2.3|1.3|1.3|Corretor|251935|001002551253100001|0|AB|70540|0|2119.2498000000005|1.0|0.0|9418.888000000004|07 - Pick-Up Cab.Dupla|MAPFRE|TOYOTA|Hilux|1 a 5|Elegivel_MP|Manter|Recusa x1.8|Recusa x2|Elegivel|01 - 00-<=020|01 - < 00012|24174.837167200003|10866.39415736694|Toyota Hilux CD|68|01 ano|1.205226545723869|0.8000000000000003|251935.0|251935.0|150000.0|400000.0|400000.0|21192.498000000003|14213.651419255304|005|5|22 - Pickup Pesada Pessoa Nacional|Diesel|07 - Pick-Up Cab.Dupla|Casado|100|12 - Reduzida|068|0003|NAO|Valor de Mercado|Faixa 21 - 1800-1849|11- 10 a 10.99|Faixa 08 - 160-179|2|Masculino|0|2|22100-BLUMENAU|1|PF|3 - Renov MAPFRE com sinistro|ERRO|Particular|10866.39415736694|0|10.0|11773.61|19538.28|159.88|976.2|21192.498000000003|25963.477311|27079.303|15305.693|21192.498000000003|21192.498000000003|21192.498000000003|421.9|231|5|2|0.0|0.8000000000000002|5 - Renov Congenere com sinistro|365.97324739|11415.2978624|58.6663672|48.68312305|358.206828|3584.4221519|8.9897810012|2140.3735995|4284.2592555|4990.6650074|154.811986|0|Sem Sinistro|01 ano|09 anos|01 ano|0|3|1|4|4|1|RNS>0|21192.498000000003|0.08411891162403|3|21192.498000000003|RS|0.6301213280483168|1.0|22252.12290000001|20132.8731|Anual|21192.498000000003|00|Masculino|1|01_00_20|Demais|Demais|p_10_35|01_05_anos|AL_CE_RS|3_RenovCongenere|3_RenovPropria_com_sin|Demais|Demais|f_80_101|0|1|0|1|0|1|1|0|1|0|1|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0|1|1|0|0|0.1|295.7915807551272|164.32865597507063|226.52493467705145|2119.2498000000005|29.579158075512723|26066.772540000005|137.29870965175502|21192.498000000003|0.013957372120791383|69.26664607807574|-1.0|-1.0|(-1.5, -1.0]|1.0|1.8
5|2615.945256|0.7932404889524439|Otimização Mkp|Segmentacao|Otimização Mkp|Segmentacao|2023|2024|2.3|0.5|0.5|Corretor|207992|001002551363100001|10|C+|82495|0|682.3018403699999|1.0|0.0|-1185.6210642000003|29 - SUV|MAPFRE|DEMAIS|Demais|Sem Sinistro|Elegivel_MP|Manter|Abaixo x1.8|Abaixo x1.8|Elegivel|02 - 20-<=040|05 - <=18432|4548.678935821419|3091.458198137482|ERRO|37|Sem Sinistro|-0.206759511047556|-0.206759511047556|207992.0|207992.0|100000.0|500000.0|500000.0|4093.81104222|2382.135445884781|005|5|23 - Pickup Pesada Pessoa Importado|Triflex|29 - SUV|Casado|100|12 - Reduzida|038|0001|NAO|Valor de Mercado|Faixa 19 - 1700-1749|06- 5 a 05.99|Faixa 10 - Acima de 200|0|Feminino|0|0|42301-VALINHOS|1|PF|2 - Renov MAPFRE sem sinistro|ERRO|Particular|3091.458198137482|0|15.0|5734.3|4630.12|191.08|1464.69|4548.6789358|4548.6789358|13188.89|2867.15|4548.6789358|4548.6789358|4548.6789358|719.39|231|6|0|0.0|-0.206759511047556|4 - Renov Congenere sem sinistro|94.034516719|1544.56429776|70.1148952|52.615893716|537.4533486|284.40225773|30.633746135|774.42011974|612.95834909|157.18582893|263.9729666|0|Sem Sinistro|Sem Sinistro|Sem Sinistro|Sem Sinistro|0|0|0|0|0|0|RNS=0|4548.6789358|0.0218694898640332|2|5003.54682938|SP|0.6283468993634408|1.2222222222222223|4776.11288259|4321.24498901|Anual|4548.6789358|Demais|Feminino|0|02_20_40|Demais|Demais|p_10_35|Sem_Sinistro|Demais|3_RenovCongenere|2_RenovPropria_sem_sin|Demais|Demais|f_80_101|0|1|0|1|0|1|1|0|0|1|0|0|1|0|0|0|1|0|0|0|1|0|1|0|0|0|1|0|0|0|1|0.15|1862.2976329543942|2474.2082178101296|1128.7154926907594|647.4176207026417|279.3446449431591|5316.542301190358|1161.800834525062|4316.1174713509445|0.43147519624193525|746.3621848949534|-2.11213858547896|-2.2946992354640954|(-2.5, -2.0]|0.95|0.75
6|2698.6361569|1.59575627479319|Otimização Mkp|Segmentacao|Otimização Mkp|Segmentacao|2012|2013|2.3|0.5|0.5|Corretor|39889|001002552073100001|1|B|54975|0|431.71271107000007|1.0|0.0|1611.7471107|03 - Hatchback|MAPFRE|CHEVROLET|Demais|1 a 5|Elegivel_MP|Manter|Abaixo x1.8|Abaixo x1.8|Elegivel|02 - 20-<=040|01 - < 00012|4317.12711070143|2262.1507464749834|Chevrolet Onix 1.0|45|04 anos|0.5957562747931899|0.5957562747931899|39889.0|39889.0|5000.0|100000.0|100000.0|3885.41439963|2086.61094320135|005|5|10 - Passeio Nacional|Flex|03 - Hatchback|Casado|100|12 - Reduzida|045|0012|NAO|Valor de Mercado|Faixa 04 - 950-999|13- 12 a 12.99|Faixa 04 - 80-99|0|Feminino|0|0|31700-NORTE CENTRAL PARANAENSE-NOVA ESPERANCA|1|PF|2 - Renov MAPFRE sem sinistro|ERRO|Particular|2262.1507464749834|0|10.0|2705.38|4630.31|18.91|119.32|4317.1271107|4317.1271107|6222.374|1352.69|4317.1271107|4317.1271107|4317.1271107|100.41|231|7|0|0.0|0.5957562747931899|1 - Seguro Novo|212.39848977|1630.94142632|6.9388354|33.196298608|43.7832808|694.80211684|8.9897810012|466.01103537|613.73731295|551.193078|36.8444454|0|Sem Sinistro|04 anos|08 anos|04 anos|0|3|1|4|4|0|RNS=0|4317.1271107|0.1082285118879891|2|4748.8398217700005|RS|0.6424795826452142|1.2222222222222223|4532.983466235|4101.270755165|Anual|4317.1271107|Demais|Feminino|0|02_20_40|Demais|Demais|p_10_35|01_05_anos|AL_CE_RS|1_SeguroNovo|2_RenovPropria_sem_sin|Demais|Demais|f_80_101|0|1|0|1|0|1|1|0|0|1|1|0|0|0|0|0|1|0|1|0|0|0|1|0|0|0|1|0|1|0|0|0.1|180.92585080105925|118.49911306917954|118.20372409386823|413.0606259933914|18.092585080105927|4962.702630147935|107.17755769129569|4130.606259933914|0.04380128228536455|61.22737395083274|-3.3130690641909744|-3.6534732574890603|(-3.5, -2.5]|0.96|1.53
7|1621.0234054|0.9127675415633116|Otimização Mkp|Segmentacao|Otimização Mkp|Segmentacao|2022|2022|2.3|0.5|0.5|Corretor|83173|001401215103100001|2|C+|100902|50100|422.80214016|1.0|0.0|-269.3790656000001|29 - SUV|MAPFRE|CITROEN|Demais|Sem Sinistro|Elegivel_MP|Manter|Abaixo x1.8|Abaixo x1.8|Elegivel|03 - 40-<=060|02 - <=00036|2818.68093442656|4426.1547252258715|Citroen C-4|28|Sem Sinistro|-0.0872324584366884|-0.0872324584366884|83173.0|83173.0|40000.0|150000.0|150000.0|2536.81284096|2394.0365031691063|005|5|22 - Pickup Pesada Pessoa Nacional|Flex|29 - SUV|Casado|100|12 - Reduzida|028|0002|NAO|Valor de Mercado|Faixa 17 - 1600-1649|14- 13 a 13.99|Faixa 05 - 100-119|0|Feminino|0|0|10500-CENTRO ORIENTAL RIO-GRANDENSE-SANTA CRUZ DO SUL|1|PF|2 - Renov MAPFRE sem sinistro|ERRO|Particular|4426.154725225872|0|15.0|3088.06|3474.92|128.68|774.29|2818.6809344|2818.6809344|7102.538|1544.03|2818.6809344|2818.6809344|2818.6809344|389.8|231|8|0|0.0|-0.0872324584366884|5 - Renov Congenere com sinistro|55.578328558|860.56641174|47.2178392|36.213461482|284.1179726|314.80611718|24.975395519|486.70251473|359.78707014|14.07682687|143.033212|0|Sem Sinistro|Sem Sinistro|Sem Sinistro|Sem Sinistro|0|0|0|0|0|0|RNS=0|2818.6809344|0.0338893743690861|2|3100.54902784|RS|0.6139535477598291|1.2222222222222223|2959.61498112|2677.74688768|Anual|2818.6809344|Demais|Feminino|0|03_40_60|Demais|Demais|p_10_35|Sem_Sinistro|AL_CE_RS|3_RenovCongenere|2_RenovPropria_sem_sin|13509|Demais|f_80_101|0|1|1|0|0|1|1|0|0|1|1|0|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|0|1|0.15|1583.4131279033022|1742.725259632917|914.813324561942|420.8645094852489|237.51196918549533|3750.778162929123|1045.0174262675644|2805.7633965683262|0.5643430696401356|671.0727458208585|-1.5571099155652173|-1.5662874217344864|(-2.0, -1.5]|1.0|0.91
8|1048.4700918|0.7251711126712383|Otimização Mkp|Segmentacao|Otimização Mkp|Segmentacao|2014|2015|2.3|0.5|0.5|Corretor|48200|001401215513100001|4|AB|92868|50100|273.466377615|1.0|0.0|-690.9308159|03 - Hatchback|MAPFRE|CHEVROLET|Demais|Sem Sinistro|Elegivel_MP|Manter|Abaixo x1.8|Abaixo x1.8|Elegivel|03 - 40-<=060|04 - <=00144|1823.10918412409|2251.1977429849144|Chevrolet Onix 1.4/Sedan|38|Sem Sinistro|-0.2748288873287616|-0.2748288873287616|48200.0|48200.0|20000.0|200000.0|200000.0|1759.828|1983.5245226355064|005|5|10 - Passeio Nacional|Flex|03 - Hatchback|Casado|100|12 - Reduzida|ERRO|0010|NAO|Valor de Mercado|Faixa 05 - 1000-1049|13- 12 a 12.99|Faixa 04 - 80-99|0|Feminino|0|0|10500-CENTRO ORIENTAL RIO-GRANDENSE-SANTA CRUZ DO SUL|3|PF|2 - Renov MAPFRE sem sinistro|ERRO|Particular|2251.1977429849144|0|15.0|2514.04|2424.96|178.09|726.8|1823.1091841|1823.1091841|5782.292|1257.02|1823.1091841|1823.1091841|1823.1091841|127.69|231|9|0|0.0|-0.2748288873287616|2 - Renov MAPFRE sem sinistro|47.842529556|399.1390689967|65.3483446|39.044372929|266.691992|247.67422017|19.123658212|214.7222925|174.50149631|9.9152801867|46.8545686|0|Sem Sinistro|Sem Sinistro|Sem Sinistro|Sem Sinistro|0|0|0|0|0|0|RNS=0|1823.1091841|0.0378238419937759|2|2005.42010251|RS|0.6223378962768514|1.1395546056262318|1914.264643305|1731.9537248949998|Anual|1823.1091841|Demais|Feminino|0|03_40_60|Demais|Demais|p_10_35|Sem_Sinistro|AL_CE_RS|2_RenovPropria|2_RenovPropria_sem_sin|13509|Demais|f_80_101|0|1|1|0|0|1|1|0|0|1|1|0|0|0|0|0|1|0|0|1|0|0|0|1|0|0|1|0|0|0|1|0.15|1238.8813155900855|1617.0733314023269|674.3938140295022|288.9105696844111|185.83219733851283|2466.6667260873|864.6928276447661|1926.0704645627407|0.6432170257443505|531.8939845939437|-1.1888428485343243|-1.1196399585010388|(-1.5, -1.0]|1.06|0.77
9|1780.99566|1.5071393339080357|Otimização Mkp|Segmentacao|Otimização Mkp|Segmentacao|2007|2008|2.3|0.5|0.5|Corretor|21549|001401215613100001|10|AB|92906|0|678.3453285200001|1.0|0.0|1141.2866426|14 - Station-Wagon|MAPFRE|PEUGEOT|Demais|+6|Elegivel_MP|Manter|Abaixo x1.8|Abaixo x1.8|Elegivel|02 - 20-<=040|05 - <=18432|3391.7266425707403|2353.9613709863147|Peugeot Demais|43|10 ou +|0.5071393339080357|0.5071393339080357|21549.0|21549.0|30000.0|200000.0|200000.0|3052.55397834|1680.440892770307|005|5|10 - Passeio Nacional|Gasolina|14 - Station-Wagon|Casado|100|12 - Reduzida|044|0017|NAO|Valor de Mercado|Faixa 14 - 1450-1499|11- 10 a 10.99|Faixa 06 - 120-139|1|Feminino|0|0|10400-CENTRO ORIENTAL RIO-GRANDENSE-LAJEADO-ESTRELA|2|PF|2 - Renov MAPFRE sem sinistro|ERRO|Particular|2353.961370986315|0|20.0|2250.44|3388.83|169.99|674.62|3391.7266426|3391.7266426|5176.012|1125.22|3391.7266426|3391.7266426|3391.7266426|345.25|231|10|1|0.0|0.5071393339080358|2 - Renov MAPFRE sem sinistro|142.20392536|720.052272722|62.3761306|39.044372929|247.5450628|559.68730981|23.279250105|174.87230601|530.06171316|15.118253552|126.686035|0|Sem Sinistro|10 ou +|Sem Sinistro|10 ou +|0|5|1|5|5|0|RNS=0|3391.7266426|0.1573960110724395|2|3730.89930686|RS|0.6191629257440848|1.2222222222222223|3561.3129747300004|3222.14031047|Anual|3391.7266426|Demais|Feminino|0|02_20_40|Gasolina|Demais|p_10_35|06_inf|AL_CE_RS|2_RenovPropria|2_RenovPropria_sem_sin|Demais|Demais|f_80_101|0|1|0|1|0|1|1|0|0|1|1|0|0|0|0|0|0|1|0|1|0|0|1|0|0|0|1|0|0|1|0|0.2|604.2823407040211|437.4551110766122|346.2014780541868|621.7328893321792|120.85646814080422|3754.6413933582|403.2052401167783|3108.664446660896|0.19438648045564963|245.06071204460585|-2.7995121746576275|-3.3269988942018025|(-3.5, -2.5]|0.92|1.38
